window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
11,1988-12-02 00:00:00-05:00,1989-11-30 00:00:00-05:00,1990-11-29 00:00:00-05:00,0.27254971861839294,0.2608966529369354,0.27908150583259017,-4.2755742844018165,3.7177026202299803,0.44464870119617134,0.5641305489503196,-22.92180404151145,31.070719749134838,13.84608251867554,0.005021737181379428,0.006026084617655313,27.978897260603546,38.29424073246328,-43.50286769263177,False,-63.80369723501432,False,0.62395,True
12,1989-06-05 00:00:00-04:00,1990-06-01 00:00:00-04:00,1991-05-31 00:00:00-04:00,0.327982634305954,0.33522146940231323,0.3489969631428971,2.2070787716177094,2.0640549142302826,-0.29735552379625274,-0.41385962270374904,-34.44458692020845,36.190080194189086,-12.354943372135043,0.17852005811165714,0.21422406973398855,28.79431995139588,35.393481644524016,-52.70429333620401,False,-64.09921791589814,False,0.49545,False
13,1989-12-01 00:00:00-05:00,1990-11-29 00:00:00-05:00,1991-11-27 00:00:00-05:00,0.3085341155529022,0.3654487133026123,0.3168584427786518,18.446776184772126,2.1178010859343583,-0.25030120736713385,-0.36898033564981525,-47.07012270405318,44.31623318858845,-15.439933613370133,0.004343795800276589,0.005212554960331906,19.976941188264664,30.044231821974112,-31.03117152444133,False,-44.43298676627835,False,0.6522,False
14,1990-06-04 00:00:00-04:00,1991-05-31 00:00:00-04:00,1992-05-29 00:00:00-04:00,0.2874605655670166,0.4289490878582001,0.2883897182308843,49.22015025333894,0.32322787024191885,0.4799837934081194,0.6763662143879187,-47.07012270405323,50.5800566195977,16.61476722592824,0.10596172544993311,0.12715407053991973,23.119125928237445,35.18722948322722,-42.86552002605919,False,-54.83146602769094,False,0.41575,True
15,1990-11-30 00:00:00-05:00,1991-11-27 00:00:00-05:00,1992-11-25 00:00:00-05:00,0.2608966529369354,0.4075252115726471,0.26215719192967835,56.2017783613173,0.48315644472740765,0.8684006268305672,1.2037099984785966,-43.3261251188941,47.31702954827824,40.074128659270094,0.027441346669258706,0.032929616003110444,26.553497630666918,43.609096366934416,-49.503532387570765,False,-61.7380299357624,False,0.41695,True
16,1991-06-03 00:00:00-04:00,1992-05-29 00:00:00-04:00,1993-05-27 00:00:00-04:00,0.35126903653144836,0.41652706265449524,0.3376712723884129,18.577790620951717,0.7308013387291606,0.6144553715734337,0.9972139346216965,-22.361396279503033,37.29295323426879,22.11411859519169,-0.07602131311491239,-0.09122557573789487,29.887720671218474,52.20810320828738,-49.03593343408938,False,-63.954416753752454,False,0.39925,True
17,1991-11-29 00:00:00-05:00,1992-11-25 00:00:00-05:00,1993-11-24 00:00:00-05:00,0.3636573851108551,0.241469144821167,0.3711545664576597,-33.59982370561263,1.5613280187752558,0.38400801615120905,0.6028910361933668,-37.81254455756117,35.93828948935215,12.062954928969639,-0.007114961955142838,-0.008537954346171404,28.57894661034297,45.60340217085735,-46.42847887872868,False,-60.32674350555568,False,0.4819,True
18,1992-06-01 00:00:00-04:00,1993-05-27 00:00:00-04:00,1994-05-26 00:00:00-04:00,0.4136268198490143,0.22397750616073608,0.4396639688841482,-45.850342527959306,2.4979377108479177,0.07276795307906657,0.10979448620033956,-27.149161998451365,34.25158103360529,0.7011737794322982,-0.05395592375430311,-0.06474710850516373,26.803438143599216,35.76132242833459,-40.48584462219663,True,-56.540828672748695,False,0.5786,True
19,1992-11-27 00:00:00-05:00,1993-11-24 00:00:00-05:00,1994-11-23 00:00:00-05:00,0.4075252115726471,0.2736242115497589,0.4181108312339647,-32.85710827709575,2.597537369643335,-0.9052505725850318,-1.1479891106512352,-64.88962506502557,48.922896662900605,-40.74743403252691,0.12839380384774615,0.15407256461729538,24.644053850077555,38.39135934703943,-40.40744284890677,False,-54.844281662156696,False,0.62125,False
20,1993-05-28 00:00:00-04:00,1994-05-26 00:00:00-04:00,1995-05-25 00:00:00-04:00,0.4110458195209503,0.32274147868156433,0.42254582943112656,-21.4828461075944,1.4449881691418092,-0.914613191635161,-1.3063594628533037,-60.13236172417693,54.54510385046844,-45.51033108139412,0.04674181722330387,0.056090180667964645,22.737564135228524,33.17259796506745,-36.103293899729245,False,-51.66565123365415,False,0.5538,False
21,1993-11-26 00:00:00-05:00,1994-11-23 00:00:00-05:00,1995-11-22 00:00:00-05:00,0.23872528970241547,0.28988170623779297,0.23918545829295107,21.428989194712827,-0.9457467246621701,0.43426662532901666,0.8551265260350585,-33.83828943355635,44.9807488164362,14.618862497076417,0.12374655900353505,0.14849587080424206,32.75695231108348,48.555766718697285,-59.655752463584065,False,-70.0414583090274,False,0.24025,True
22,1994-05-27 00:00:00-04:00,1995-05-25 00:00:00-04:00,1996-05-23 00:00:00-04:00,0.2207149863243103,0.1970069855451584,0.2198771308255078,-10.741454929714774,-1.8307085410111077,1.0095949382907392,1.7154745525444497,-27.341006505478127,42.68482953605182,46.22544851002557,-0.08236301918986806,-0.09883562302784167,35.640531523376104,43.81137639535849,-67.12257069103171,False,-75.85100781873774,False,0.1737,True
23,1994-11-25 00:00:00-05:00,1995-11-22 00:00:00-05:00,1996-11-20 00:00:00-05:00,0.2801174223423004,0.18762551248073578,0.27161378391707797,-33.01897793009837,-0.7347404022817365,0.18365821559533715,0.24858432243783785,-29.555012925112077,39.767715225354934,3.485782431469295,0.03811540014541756,0.04573848017450107,34.27781203070717,42.01230503421756,-61.43628699539141,False,-72.20388335114444,False,0.2576,True
