window,test_start_date,test_end_date,forecast_date,start_price,actual_forecast_price,predicted_price,actual_return_pct,predicted_return_pct,realized_sharpe,realized_sortino,realized_max_drawdown,realized_volatility,realized_total_return,predicted_sharpe,predicted_sortino,predicted_max_drawdown,predicted_volatility,predicted_var_5,var_5_breached,predicted_var_1,var_1_breached,predicted_prob_profit,actual_profit
1,1983-12-08 00:00:00-05:00,1984-12-05 00:00:00-05:00,1985-12-05 00:00:00-05:00,0.07364955544471741,0.06893973052501678,0.07335186977639432,-6.394912896977221,1.966962551289823,0.5600825961450635,1.0430303960032452,-34.21088935851139,47.79645196865116,21.511306539271928,-0.1548783047141612,-0.18585396565699344,36.70086998360256,64.50328317654929,-61.587993696687064,False,-76.36703485139293,False,0.4187,True
2,1984-06-08 00:00:00-04:00,1985-06-06 00:00:00-04:00,1986-06-06 00:00:00-04:00,0.09805669635534286,0.1293153315782547,0.10310052785253487,31.878123967826937,4.686686699590562,-0.9080384857235527,-1.4210994689762058,-47.75486884874259,48.9020393210789,-40.611154349303284,0.04768897487417788,0.057226769849013454,33.008311981920976,57.76483854519647,-46.28218036522868,False,-66.80412399620238,False,0.6312,False
3,1984-12-06 00:00:00-05:00,1985-12-05 00:00:00-05:00,1986-12-04 00:00:00-05:00,0.09377498179674149,0.14558641612529755,0.09004797661043908,55.25080712983558,0.6206545789323697,-0.5662580699938669,-0.8146762171125117,-52.65324771727437,44.30961920751951,-26.48387746483965,0.004437861701029773,0.005325434041235727,37.58513591356173,51.30173682295978,-61.827785244043724,False,-78.35165388821297,False,0.3244,False
4,1985-06-07 00:00:00-04:00,1986-06-06 00:00:00-04:00,1987-06-05 00:00:00-04:00,0.056093912571668625,0.2667430639266968,0.056013922991290606,375.5294321569946,-3.813560523325324,2.3259429785561383,4.661964072381156,-21.088357630192174,37.300053795126594,130.53362771412037,-0.11411876581665938,-0.13694251897999124,49.83852031069247,60.23720899120828,-79.5764946017962,False,-85.4242651220028,False,0.0866,True
5,1985-12-06 00:00:00-05:00,1986-12-04 00:00:00-05:00,1987-12-03 00:00:00-05:00,0.06765521317720413,0.21000473201274872,0.06942796194748871,210.40436080320873,0.7082003639320134,2.0156456172584747,3.6407593488959114,-21.543224809921092,40.16674485582904,115.18876268111693,0.16238577080775105,0.19486292496930124,30.951424154543258,37.57114944322173,-55.84171702105887,False,-65.25902585342003,False,0.3918,True
6,1986-06-09 00:00:00-04:00,1987-06-05 00:00:00-04:00,1988-06-03 00:00:00-04:00,0.12332013249397278,0.2972441017627716,0.13180637657576794,141.03453000855257,1.9263338438766702,1.8705792889774178,3.5835546928761723,-18.936783951377343,44.53745135130947,116.30131149894258,0.22371078564862906,0.26845294277835485,26.726866338364673,41.169140416533544,-41.74936441716779,False,-57.07146595107314,False,0.53605,True
7,1986-12-05 00:00:00-05:00,1987-12-03 00:00:00-05:00,1988-12-01 00:00:00-05:00,0.14986886084079742,0.2690778970718384,0.14963430685734314,79.54223149642422,2.780404133694608,0.7945020692129126,1.0488842005591514,-52.74262113074026,63.823969884551865,40.12566108434786,0.10673891956295445,0.12808670347554532,24.399632408189984,42.99930805653085,-36.246726887399284,False,-52.132248764103906,False,0.63605,True
8,1987-06-08 00:00:00-04:00,1988-06-03 00:00:00-04:00,1989-06-02 00:00:00-04:00,0.2667430639266968,0.34193915128707886,0.28555285175143413,28.190456484014366,7.05165020894656,0.4315588369613259,0.5358694352599646,-52.742621130740254,62.765701335785174,11.434613289310034,0.0834049570992374,0.10008594851908488,17.970896702317035,40.780129444870475,7.150504756090919,False,-16.84305047364461,False,0.952,True
9,1987-12-04 00:00:00-05:00,1988-12-01 00:00:00-05:00,1989-11-30 00:00:00-05:00,0.21172666549682617,0.3102871775627136,0.22228861981012357,46.550826195940296,5.849338574251334,0.7222477308698563,1.1695036331888897,-23.19866426159788,37.25160500072124,27.0873918693401,-0.1928373720355701,-0.2314048464426841,25.99006345936157,83.649519907396,-29.117940865119994,False,-49.86787151203058,False,0.777,True
10,1988-06-06 00:00:00-04:00,1989-06-02 00:00:00-04:00,1990-06-01 00:00:00-04:00,0.3041561543941498,0.287460595369339,0.31129902800346626,-5.489140621884427,4.728412155983422,0.40776603762245206,0.5712046126841371,-28.050177966758177,29.72826058042569,12.422236521299142,-0.03540560251768491,-0.04248672302122189,28.558120027816422,43.5831435854853,-37.358543468110405,False,-61.82817311981425,False,0.67945,True
